Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Departamento;Ate;4;4;4;240;12700;4400;1440
Departamento;Ate;3;2;1;104;2600;1364;406
Departamento;Ate;2;1;0;45;800;280;14
Departamento;La Perla;2;1;0;70;2800;680;98
Departamento;Ate;2;1;1;88;2700;1300;2042
Departamento;Pachacámac;1;1;0;37;1100;540;900
Departamento;San Juan de Lurigancho;3;4;0;130;5500;1407;246
Departamento;Chaclacayo;2;1;0;77;1500;740;
Departamento;Ate;3;2;2;85;2500;1400;190
Departamento;Santa Anita;3;1;1;78;1450;630;73
Departamento;Punta Hermosa;2;1;0;54;2300;582;
Habitación;Pachacámac;0;0;0;30;800;505;
Departamento;Lince;2;1;1;69;2000;780;
Departamento;Comas;3;1;1;120;7000;1800;370
Tienda/Salón;Ate;0;0;0;36;5300;2114;839
Departamento;Ate;2;1;1;78;2750;1300;138
Local comercial;Pachacámac;0;0;0;95;3800;1688;392
Departamento;Jesús María;2;1;0;60;1000;450;150
Departamento;Jesús María;2;1;1;90;2400;1700;135
Local comercial;Pachacámac;0;0;0;310;17050;5950;1917
Departamento;Breña;2;1;0;86;4000;1259;188
Habitación;Villa El Salvador;0;0;0;28;1000;581;53
Departamento;Ate;1;1;1;70;1700;870;143
Local comercial;Ate;0;4;0;145;9000;6400;
Departamento;Chorrillos;2;0;0;80;1000;;
Departamento;San Miguel;2;1;0;80;1800;1100;84
Local comercial;Ate;0;2;0;142;4000;5024;12415
Local comercial;Chorrillos;0;3;0;241;22000;9384;
Casa de villa;Ate;2;1;0;70;1300;;
Departamento;San Miguel;3;1;0;172;2700;780;170
Departamento;Callao;4;3;2;261;2800;2535;3900
Almacén;Chaclacayo;0;10;0;13010;100000;;12000
Departamento;Comas;3;1;1;145;8000;14768;4394
Departamento;Santa Rosa;2;1;0;53;1100;160;
Habitación;San Borja;1;0;0;29;1200;460;
Departamento;Chorrillos;2;1;1;83;2800;560;138
Departamento;Chorrillos;2;1;1;80;4300;1178;187
Departamento;Pueblo Libre;3;1;2;250;13900;2500;
Local comercial;Pachacámac;0;0;0;40;1500;637;84
Local comercial;Pachacámac;0;0;0;48;1400;729;157
Local comercial;Puente Piedra;0;64;0;4800;312000;92000;
Local comercial;Punta Negra;0;0;0;30;800;592;162
Departamento;Rímac;3;2;1;147;7500;1028;247
Departamento;San Borja;2;1;0;67;3500;950;160
Departamento;Comas;3;1;1;150;25000;1616;4255
Departamento;Ate;4;3;2;220;7500;3911;716
Departamento;Lurín;2;0;0;77;2400;1130;140
Local comercial;Pachacámac;0;0;0;55;900;1240;240
Departamento;Lurín;2;1;0;55;1350;430;47
Casa;San Luis;8;3;5;259;7000;;
Departamento;Rímac;3;1;0;85;3900;800;1211
Departamento;Lurín;2;0;0;75;3350;455;
Departamento;Jesús María;3;2;1;90;1200;880;144
Casa;Breña;1;0;0;33;1200;;
Habitación;La Punta;1;0;0;16;1400;300;210
Local comercial;Pachacámac;0;0;0;212;13000;4700;1350
Local comercial;Callao;0;0;0;22;490;450;525
Local comercial;Ate;0;1;0;20;445;791;1041
Departamento;Chorrillos;2;0;0;80;900;350;
Departamento;Ventanilla;1;0;0;37;1000;285;24
Almacén;Comas;0;0;0;550;4300;;
Local comercial;Lince;0;0;0;20;800;;
Local comercial;Rímac;0;1;0;27;1500;580;
Departamento;San Borja;3;0;0;150;5500;1780;420
Departamento;Pueblo Libre;3;1;1;127;5000;1540;370
Departamento;Callao;2;1;1;74;1700;652;104
Local comercial;Ate;0;1;0;32;1300;935;217
Local comercial;Ate;0;0;0;28;800;550;
Local comercial;Ate;0;1;0;45;1600;1100;350
Departamento;Ate;3;2;1;128;3000;1384;324
Terreno;Ate;0;0;0;1110;140000;;
Departamento;La Perla;3;1;1;160;8000;2000;
Local comercial;Pachacámac;0;0;0;154;3900;5100;559
Departamento;San Borja;3;1;1;200;6200;1800;420
Departamento;Ate;2;1;0;58;1500;666;106
Departamento;Chorrillos;3;1;1;100;5500;1300;220
Departamento;Ate;4;2;3;320;5500;2700;800
Departamento;Magdalena del Mar;2;1;0;50;1100;;
Departamento;Jesús María;2;1;1;75;1000;1040;112
Local comercial;Ate;0;0;0;21;1200;588;
Local comercial;Callao;0;0;0;22;500;600;85
Departamento;Comas;2;0;2;52;10000;3689;393
Local comercial;Jesús María;0;1;0;48;2000;1064;
Tienda/Salón;Ate;0;1;0;120;4000;1400;1500
Departamento;Rímac;4;4;4;380;40000;4700;1500
Local comercial;Pachacámac;0;0;0;35;1000;322;33
Local comercial;San Miguel;0;1;0;20;1000;690;58
Tienda/Salón;Ate;0;1;0;50;4500;1172;1327
Departamento;Jesús María;3;2;1;104;2200;740;258
Local comercial;Pachacámac;0;0;0;120;3000;1380;509
Departamento;Ate;2;1;1;72;2600;1700;237
Departamento;San Luis;2;1;0;75;1200;330;75
Local comercial;Jesús María;0;8;0;380;18000;5276;1851
Departamento;Chorrillos;4;1;1;190;5500;1720;350
Habitación;Lurín;0;0;0;20;700;500;28
Departamento;Comas;4;6;1;700;65000;8860;5699
Departamento;Santa Anita;2;0;0;56;899;402;135
Local comercial;Pachacámac;0;0;0;270;7000;2800;1249
Departamento;Callao;2;1;1;71;1200;600;54
Departamento;Pueblo Libre;3;1;2;105;3600;1100;281
Departamento;San Borja;3;1;1;500;15000;2580;366
Departamento;San Miguel;3;0;0;87;1600;650;100
Departamento;Chorrillos;1;0;0;35;1500;470;50
Local comercial;Ate;0;1;0;24;700;628;1120
Local comercial;San Miguel;0;0;0;21;1000;520;116
Departamento;Ate;1;1;1;65;2350;;
Departamento;Comas;3;3;1;220;22000;4000;1200
Departamento;San Borja;3;0;0;100;3300;850;90
Departamento;Ate;3;1;2;93;2500;1100;
Departamento;Santa Rosa;2;2;0;78;800;915;55
Departamento;Ate;2;1;1;85;2500;1573;197
Departamento;Rímac;2;1;1;115;7500;980;270
Departamento;Chorrillos;2;1;1;70;3700;1133;147
Departamento;Callao;2;1;1;95;1600;650;
Departamento;Ate;4;4;4;392;30000;7000;3000
Casa comercial;Chorrillos;0;0;0;220;16000;;
Departamento;Lince;2;0;0;60;1200;570;
Departamento;Villa El Salvador;1;0;0;40;1900;430;54
Cochera;San Miguel;0;0;0;0;380;;
Departamento;Santa María del Mar;3;1;1;61;1400;498;
Departamento;San Borja;3;2;1;250;7000;1500;434
Flat;San Borja;1;1;0;63;3600;1215;
Flat;Rímac;1;0;1;50;4500;1300;150
Departamento;Comas;3;2;1;200;15000;1500;572
Departamento;San Borja;3;1;0;140;3700;1347;
Tienda/Salón;San Luis;0;0;0;85;6500;;385
Departamento;San Borja;2;0;0;50;2500;750;760
Casa;Lurín;3;2;1;135;3000;;
Local comercial;Jesús María;0;1;0;58;2100;495;140
Departamento;San Miguel;3;1;1;78;2500;730;178
Local comercial;San Borja;0;2;0;210;25200;6300;1890
Habitación;Pachacámac;0;0;0;28;700;400;16
Departamento;Pueblo Libre;3;1;1;75;4000;1250;309
Local comercial;San Miguel;0;1;0;32;900;450;
Departamento;Jesús María;3;2;1;102;1850;882;
Departamento;San Miguel;1;0;0;65;1200;320;
Departamento;Ate;2;1;0;60;1500;1266;233
Departamento;San Borja;4;1;2;210;13000;2200;650
Departamento;San Luis;3;2;3;158;2400;1265;
Departamento;Ate;2;1;1;83;2000;1548;260
Departamento;Punta Hermosa;5;2;1;400;9000;3000;
Departamento;Ate;3;1;1;84;1900;1103;212
Departamento;Callao;3;1;1;77;1600;850;165
Local comercial;Jesús María;0;1;0;24;650;530;170
Departamento;Punta Hermosa;4;4;4;510;25000;6600;
Departamento;San Miguel;3;0;0;75;1800;350;
Departamento;Comas;3;1;1;126;5500;1400;2000
Casa;San Borja;2;0;0;40;950;;50
Departamento;Rímac;4;2;2;250;17500;4990;620
Local comercial;Chorrillos;0;8;0;463;92600;11843;14355
Local comercial;Pachacámac;0;0;0;190;4500;886;
Local comercial;Pachacámac;0;0;0;185;3000;10046;462
Local comercial;Pachacámac;0;4;0;230;7000;3130;1202
Local comercial;Pachacámac;0;0;0;55;1760;1420;
Departamento;San Borja;4;2;2;436;17000;3900;1000
Local comercial;Jesús María;0;1;0;80;2800;560;
Departamento;Callao;3;3;2;173;3200;1800;
Departamento;San Miguel;2;1;1;71;1500;600;
Departamento;Ate;2;1;1;81;1900;1200;121
Casa en condominio;Ate;4;2;4;595;30000;2500;2510
Departamento;Rímac;3;1;0;87;3800;970;273
Tienda/Salón;San Borja;0;0;0;13;1500;520;95
Tienda/Salón;Ate;0;1;0;95;15000;1800;1000
Local comercial;Pachacámac;0;0;0;150;4000;2000;700
Casa en condominio;Jesús María;4;4;4;267;6500;700;3308
Departamento;Punta Hermosa;4;1;2;288;7000;1870;582
Local comercial;Ate;0;1;0;25;1000;450;
Departamento;Jesús María;1;1;1;102;1900;688;
Departamento;Rímac;2;1;0;70;4200;1100;200
Departamento;Puente Piedra;1;0;0;46;1000;;
Departamento;Barranco;3;0;0;65;1200;350;16
Tienda/Salón;Ate;0;1;0;50;1100;1338;
Departamento;Ate;3;3;2;169;6500;1886;450
Habitación;San Borja;1;0;0;23;1000;562;
Departamento;Punta Hermosa;3;1;1;90;2400;1311;
Departamento;San Miguel;2;0;0;50;1800;347;25
Departamento;Santa Rosa;1;0;0;39;800;;
Departamento;Comas;3;1;1;140;6500;1800;506
Departamento;Lince;2;0;0;60;800;380;
Departamento;Comas;4;1;1;170;12000;1210;4222
Casa;San Miguel;4;1;1;191;4000;300;
Departamento;Pachacámac;1;0;0;35;1350;420;24
Departamento;San Miguel;2;0;0;63;1400;440;61
Casa en condominio;Punta Hermosa;3;2;1;250;5500;750;500
Departamento;San Borja;3;1;0;112;3800;1123;286
Tienda/Salón;Ate;0;8;0;500;38000;;4971
Departamento;Rímac;3;0;1;85;8500;;1719
Departamento;San Miguel;3;1;0;129;1800;850;116
Departamento;Ate;4;3;3;160;8600;2300;250
Local comercial;Pachacámac;0;0;0;100;2800;1500;490
Departamento;Jesús María;2;1;1;93;1400;1300;
Departamento;Callao;3;1;1;93;1800;650;95
Departamento;Ate;1;1;1;60;2200;1600;350
Local comercial;Puente Piedra;0;20;0;2160;129600;60480;
Departamento;San Luis;2;2;0;55;790;350;
Habitación;Pachacámac;1;0;0;33;990;463;25
Departamento;San Borja;2;0;0;54;1800;590;
Local comercial;Pachacámac;0;10;0;1136;136370;22728;5682
Casa comercial;La Punta;0;0;0;139;16740;1953;139
Flat;Ventanilla;1;1;1;55;3000;1865;337
Departamento;Lurín;2;1;1;70;3300;1365;180
Departamento;San Borja;5;1;3;390;10000;1000;1000
Departamento;San Luis;2;1;0;53;1300;492;16
Departamento;Santa María del Mar;2;0;0;70;800;;
Departamento;Chorrillos;1;0;0;35;1000;293;86
Departamento;San Miguel;3;1;0;164;3500;1310;257
Departamento;Lince;2;1;1;60;1200;524;13
Departamento;Bellavista;2;1;0;50;850;280;12
Departamento;Chorrillos;2;1;1;79;4315;1110;187
Departamento;Jesús María;2;1;1;80;1600;615;3
Departamento;San Miguel;1;0;0;36;1300;295;24
Departamento;Miraflores;4;4;3;190;5700;1069;808
Departamento;Callao;3;1;0;84;1500;900;
Departamento;Punta Negra;2;0;0;50;1000;600;
Habitación;San Borja;1;0;0;26;1400;370;21
Tienda/Salón;Jesús María;0;2;0;140;3990;1410;968
Edificio completo;Lince;0;0;0;650;35000;;
Casa en condominio;Ate;4;4;4;1000;30000;2695;23715
Local comercial;Pachacámac;0;0;0;120;3000;1380;507
Departamento;Chaclacayo;3;1;0;83;1500;440;132
Departamento;Santa Rosa;2;0;0;90;1000;150;
Departamento;Breña;1;0;0;57;3990;860;100
Departamento;San Luis;3;1;0;95;2500;600;80
Casa de villa;Pachacámac;2;1;2;115;1600;1;60
Departamento;Rímac;4;2;2;200;11000;2900;580
Tienda/Salón;San Martín de Porres;0;0;0;85;6500;;398
Departamento;Ate;2;1;1;63;1900;824;
Departamento;La Perla;2;1;1;100;3900;1300;320
Departamento;Comas;3;2;1;165;7500;2200;532
Almacén;Puente Piedra;0;0;0;1096;12000;;1771
Local comercial;Pachacámac;0;0;0;145;3800;1400;413
Departamento;Comas;3;2;2;160;6000;3500;4600
Local comercial;Villa El Salvador;0;0;0;32;1300;400;
Departamento;Villa El Salvador;1;1;0;48;2100;580;70
Departamento;Rímac;2;1;1;87;4800;1300;361
Casa de villa;Santiago de Surco;1;0;1;40;800;;
Departamento;Ate;3;1;1;105;2500;1400;1500
Almacén;Chaclacayo;0;3;0;404;15000;;370
Casa en condominio;Callao;2;1;0;163;1800;92;46
Local comercial;Pachacámac;0;0;0;87;3000;764;134
Habitación;San Borja;1;0;0;30;1300;370;30
Local comercial;Ate;0;9;0;190;10000;5503;1250
Local comercial;Rímac;0;0;0;6;900;;
Departamento;Ate;3;1;1;80;3500;1410;270
Local comercial;Pachacámac;0;0;0;375;18750;6340;2349
Departamento;Chorrillos;3;1;1;102;5100;1300;
Departamento;La Perla;3;0;1;120;2700;880;238
Departamento;Breña;2;2;1;112;4500;1300;
Local comercial;Pachacámac;0;0;0;34;1000;729;
Local comercial;Pachacámac;0;0;0;48;4500;885;380
Departamento;Mi Perú;2;0;0;60;900;160;25
Local comercial;Ate;0;2;0;80;5000;1100;3000
Departamento;Pueblo Libre;1;1;0;75;2800;800;210
Departamento;Comas;3;1;1;125;7000;2100;463
Local comercial;Rímac;0;0;0;120;20000;2400;616
Edificio completo;Punta Negra;0;0;0;1408;24000;;
Departamento;Santa Rosa;2;0;0;53;1400;460;12
Departamento;Jesús María;3;3;1;132;2800;879;
Loft;Ate;1;1;1;78;2700;1370;188
Departamento;Ate;2;2;1;86;3500;1307;
Departamento;Jesús María;2;1;1;80;1700;690;150
Almacén;Lince;0;3;0;300;6000;;
Departamento;Jesús María;4;2;2;200;3600;1177;320
Local comercial;Jesús María;0;1;0;23;900;500;
Almacén;Lince;0;0;0;1000;8000;;
Departamento;Ate;2;1;1;77;2500;830;156
Departamento;Santa Rosa;1;1;0;63;700;625;36
Local comercial;Pachacámac;0;0;0;22;800;264;83
Casa;Mi Perú;5;4;2;450;7000;;500
Departamento;Ate;4;2;2;149;4500;2130;
Departamento;Jesús María;3;2;2;106;2500;780;248
Local comercial;Chorrillos;0;10;0;534;45000;14850;
Departamento;Mi Perú;2;1;0;48;1100;400;
Departamento;Comas;4;1;2;250;12000;2300;1050
Departamento;La Perla;2;1;1;68;2700;850;186
Departamento;Ate;2;1;1;75;1400;1280;
Tienda/Salón;Ate;0;0;0;30;1100;;
Departamento;Comas;2;1;1;97;7000;4000;4725
Casa en condominio;Villa El Salvador;2;2;1;90;1700;618;338
Local comercial;Ate;0;1;0;72;2200;835;595
Departamento;Comas;3;0;0;70;900;200;30
Habitación;Rímac;1;0;0;30;1700;560;62
Departamento;San Borja;4;2;1;279;3150;2025;370
Casa;San Juan de Miraflores;2;1;0;59;1200;170;
Cochera;Pachacámac;0;1;0;0;250;;85
Local comercial;Ate;0;1;0;50;1600;870;406
Departamento;Punta Hermosa;5;3;2;713;30000;3800;
Local comercial;Chorrillos;0;28;0;1510;211400;50902;8138
Departamento;Comas;2;1;0;70;950;530;30
Casa;Lince;3;0;0;200;2100;;
Local comercial;Pachacámac;0;0;0;254;10000;5600;
Local comercial;Pachacámac;0;0;0;24;600;386;119
Departamento;Jesús María;4;2;1;400;3500;800;500
Local comercial;Pachacámac;0;0;0;250;8000;4790;1160
Local comercial;San Martín de Porres;0;1;0;29;1200;760;
Departamento;Jesús María;2;1;1;89;1800;884;170
Departamento;San Luis;1;1;1;120;1000;985;150
Departamento;Jesús María;4;3;2;181;3500;1080;423
Local comercial;Ate;0;1;0;22;750;399;52
Departamento;San Miguel;2;1;1;70;1500;890;68
Local comercial;Puente Piedra;0;0;0;175;5250;1750;
Casa en condominio;Ate;5;6;5;640;13800;980;1800
Departamento;Bellavista;2;0;0;70;1000;32;
Local comercial;San Miguel;0;0;0;150;7200;1700;481
Local comercial;Pachacámac;0;0;0;219;23000;5938;1303
Local comercial;Pachacámac;0;0;0;322;8500;4315;81
Local comercial;Punta Negra;1;1;0;25;800;427;471
Departamento;San Isidro;2;0;0;40;600;415;
Departamento;Jesús María;2;0;0;75;1700;659;
Departamento;San Borja;2;1;1;81;2900;893;190
Local comercial;Ate;0;4;0;350;16500;6030;3980
Casa;Chaclacayo;2;0;0;51;1000;;
Casa en condominio;Ate;5;3;5;1000;20000;1800;1800
Departamento;Lince;2;0;1;58;1000;;
Flat;Breña;1;1;0;55;2000;1232;176
Local comercial;Pachacámac;0;0;0;360;9000;2968;1208
Departamento;Chorrillos;3;0;0;90;900;330;15
Departamento;Ventanilla;3;3;1;124;1700;1400;
Departamento;Jesús María;5;3;4;430;6000;899;750
Tienda/Salón;Ate;0;0;0;210;55000;;3000
Departamento;Comas;2;0;1;75;5200;476;120
Local comercial;Jesús María;0;1;0;34;1600;732;141
Departamento;Punta Hermosa;5;2;3;400;13000;4165;689
Tienda/Salón;Jesús María;0;1;0;54;1500;364;173
Departamento;Callao;3;2;1;126;1500;1000;150
Departamento;Punta Hermosa;2;1;1;70;2300;620;190
Departamento;Jesús María;3;2;1;94;1900;1300;198
Departamento;Ate;4;3;4;192;5000;2200;562
Local comercial;Pachacámac;0;18;0;1141;79855;22302;2977
Departamento;San Borja;1;0;0;43;1600;452;242
Departamento;Ate;2;1;1;70;2200;780;
Departamento;Rímac;3;1;1;73;1200;520;
Departamento;San Borja;3;0;0;120;3000;1420;
Local comercial;San Miguel;0;0;0;29;800;1100;
Casa en condominio;Villa El Salvador;5;4;5;300;5000;1500;250
Local comercial;Chorrillos;0;11;0;705;68000;26715;4579
Departamento;La Punta;2;1;0;64;800;248;14
Departamento;San Borja;1;0;0;45;2800;450;30
Local comercial;Lince;0;1;0;21;500;570;
Departamento;Punta Hermosa;2;0;0;110;2500;968;167
Almacén;Punta Negra;0;20;0;1100;16000;;2435
Departamento;Comas;4;3;3;433;37000;9800;
Departamento;Villa El Salvador;2;0;0;85;2700;800;1150
Departamento;San Bartolo;3;1;1;175;8000;1380;
Casa;Santa Rosa;2;0;0;70;1100;;
Local comercial;Ate;0;1;0;75;2500;1250;681
Departamento;Lince;2;1;0;68;1100;540;
Departamento;Breña;2;1;0;64;2500;520;
Local comercial;Pachacámac;0;0;0;90;2800;1640;270
Departamento;San Borja;1;0;1;37;2500;447;20
Departamento;San Borja;4;2;2;240;10000;2000;700
Casa en condominio;Ate;4;3;2;188;6000;1022;
Departamento;Ate;3;2;2;137;12500;1850;271
Departamento;Ate;14;2;2;212;5000;1200;650
Departamento;El Agustino;2;1;0;65;1100;255;
Departamento;Ate;2;2;1;105;3000;1500;
Local comercial;Pachacámac;0;0;0;240;21000;3500;
Tienda/Salón;La Punta;0;0;0;330;6000;;17285
Departamento;Ventanilla;2;1;0;70;1100;550;
Departamento;Punta Hermosa;4;3;4;600;23000;16864;3910
Departamento;La Perla;3;1;1;108;5000;1769;226
Departamento;Jesús María;2;1;2;85;2300;1350;125
Departamento;Lurín;1;0;0;45;1600;500;55
Local comercial;Ate;0;1;0;32;800;870;
Habitación;San Borja;1;0;0;15;1100;600;
Local comercial;Pachacámac;0;0;0;101;2000;4700;
Local comercial;Ate;0;1;0;28;1600;912;
Departamento;Ate;3;2;3;160;7000;1087;455
Local comercial;Pachacámac;0;0;0;150;4000;2000;
Local comercial;Chorrillos;0;0;0;457;50000;17600;23500
Casa de villa;Comas;2;1;0;48;750;;
Departamento;Pueblo Libre;3;2;1;130;5000;1000;300
Departamento;Callao;3;2;1;100;2100;780;140
Local comercial;Pachacámac;0;2;0;240;7000;3203;1300
Departamento;Callao;3;2;3;180;5500;1200;318
Departamento;San Borja;3;0;0;80;2500;800;157
Casa en condominio;Ate;3;0;2;367;6000;510;423
Local comercial;Puente Piedra;0;16;0;1200;78000;23000;
Departamento;Jesús María;3;1;1;85;1900;450;112
Casa;Lurigancho;2;4;1;107;9500;;1091
Local comercial;Chorrillos;0;15;0;700;59500;21994;5586
Local comercial;Ate;0;0;0;10;6213;;
Departamento;Ate;5;4;3;171;9000;2000;3500
Departamento;Pachacámac;1;0;0;42;2200;619;202
Departamento;Santa Anita;2;1;0;62;1000;600;38
Habitación;Rímac;1;0;0;25;1950;360;58
Tienda/Salón;San Luis;0;0;0;15;600;;
Departamento;Rímac;4;3;4;260;13500;3100;
Casa;Jesús María;4;4;2;367;12000;;653
Local comercial;Pachacámac;0;0;0;594;9000;;727
Tienda/Salón;San Borja;0;0;0;310;30000;700;
Local comercial;Pachacámac;0;0;0;373;30000;6723;1492
Local comercial;Comas;0;5;0;200;25200;4680;
Departamento;Mi Perú;2;0;0;65;1400;415;21
Departamento;Pueblo Libre;4;3;1;180;11000;2530;812
Departamento;San Borja;1;0;0;43;1800;639;76
Departamento;Pueblo Libre;2;1;1;80;2200;2600;420
Local comercial;San Borja;0;0;0;25;1000;434;101
Departamento;Villa El Salvador;2;1;0;57;2800;832;98
Departamento;Lince;3;1;1;98;1800;950;
Departamento;Lurigancho;3;1;2;170;6000;860;540
Casa comercial;Chorrillos;3;0;0;280;13000;450;1387
Departamento;Rímac;4;2;2;207;15500;6000;934
Local comercial;Jesús María;0;1;0;23;1000;680;
Departamento;Ate;4;4;4;518;38000;5004;1747
Almacén;San Isidro;0;0;0;850;8500;;
Departamento;Comas;1;0;1;50;2400;897;26
Habitación;San Borja;1;0;0;35;1700;400;55
Tienda/Salón;Lurín;0;6;0;300;17500;310;14000
Departamento;Jesús María;3;2;1;150;2500;1012;
Tienda/Salón;Ate;0;1;0;49;2000;780;
Local comercial;Pachacámac;0;3;0;151;11025;3430;
Departamento;San Borja;2;0;0;65;2700;710;130
Departamento;Jesús María;4;3;2;300;4500;1500;580
Departamento;Jesús María;2;2;1;115;1900;661;
Casa de villa;Lince;3;1;0;100;2000;100;
Local comercial;Ate;0;7;0;300;15000;9360;
Departamento;Jesús María;3;3;1;110;1500;873;
Casa;Chorrillos;12;5;0;500;18000;;1800
Local comercial;Comas;0;0;0;45;5000;2200;243
Departamento;Ate;4;3;4;304;13000;3800;1350
Tienda/Salón;Callao;0;0;0;197;8000;;690
Local comercial;Jesús María;0;1;0;28;900;560;185
Casa en condominio;Ate;4;2;4;280;8500;750;620
Edificio completo;Ate;0;80;0;5500;480000;;
Departamento;San Miguel;3;1;0;88;2300;790;885
Departamento;Comas;3;1;1;145;7200;2900;500
Casa;Lurín;10;0;10;300;15000;;220
Departamento;Santiago de Surco;1;0;0;53;2800;770;
Departamento;Comas;3;1;1;116;5000;1600;316
Departamento;San Miguel;3;1;0;116;2000;790;194
Departamento;Ventanilla;3;0;0;82;1200;664;86
Habitación;La Punta;1;0;1;26;850;321;29
Departamento;Ate;3;2;1;130;4800;1700;433
Departamento;Callao;3;1;1;90;1700;595;
Departamento;Villa El Salvador;2;1;0;68;2000;536;148
Departamento;San Borja;1;0;0;60;2800;620;128
Tienda/Salón;Santa María del Mar;0;0;0;56;2200;;100
Departamento;San Luis;2;1;0;53;1100;450;150
Departamento;Ventanilla;2;0;0;64;950;180;
